"review_id","user_id","business_id","stars","useful","funny","cool","text","date"
"fkky_DD4zkx8MJSe8a29Kg","bEwAO2bA0eXABMiMIWXA2w","kGl2zBnLWTUBQLFkd0u_FQ",1,0,0,0,"Horrible customer service!!!! Extremely Unprofessional & disrespectful!!!!!  Will NEVER eat at this location again!!","2015-06-11 01:11:48"
"tmDjQ7rN3vnHzdX9E7KFQw","J9XiH5ZJUNucQMwOmGhEQw","ypXuDmnnPxnfP8a0qLsiEg",3,0,0,0,"The veggie burgers are just morning stars, and the fry portions are very small. For a vegetarian this is not a good option.","2014-07-15 19:34:13"
"qpNyyolexyyuP_orbN9Uhw","DDLaB6xkrotC9N15rGACzg","JvawJ9bSr22xn4R9oLvl_w",4,1,0,0,"The biggest oysters I have ever seen.  The rule that big oysters don't have the best flavor do not apply to the oysters here.  Sit at the Oyster Bar and watch years of shucking experience in action.  
Must haves are the barbecued shrimp.  The sauce is not a traditional barbecue sauce.. more of a heavenly mix of spices and flavors.  The bread pudding could easily be one of the best in the city.  It's made with a lovely whiskey sauce and the pudding isn't too mushy.","2013-04-16 22:27:08"
"THjUeoIJ0-8KiKUN-em_tg","T0Gud372HlTKw3poPRDmqQ","ZyNmWY66F9SD1JaPE9UzBQ",5,0,0,0,"the service tech was knowledgeable and had the parts on her truck.  I really appreciate her calling when she was leaving her previous appointment and telling me exactly what time she arrived.  She called our home warranty provider and tried to get them to cover our repair.  She really went beyond the call","2016-06-12 18:57:53"
"QBuzXeFaniMN3bvFxp6F1Q","t-KkmoyCk3-oBKP2QvNHGw","COclRBaXBjYpomS4syUmvg",4,0,0,0,"Monon Coffee Company is an artie coffee shop in the hip Broad Ripple area of Indy. They have some relaxing chairs/couches, free wifi, and great coffees and pastries. Although it is a bit small, there seems to be always place, as most people either stay only shortly or take away their coffee. Great to work, read, or simply get a good cup of coffee!","2009-08-23 21:17:38"
"LzZOtkRAvtNN2ATEAIfosg","gJoysYPgqG_zSUq9Y51W1Q","U6e8OQ-YEUOqMyrym3jhOw",5,2,0,0,"Awesome place!!! Great atmosphere, very good prices, quality barbers! Highly recommend this barbershop!","2018-05-19 20:34:17"
"Fa3BWh4xsAdYavUZc1A1RA","fGgRTgm7aaXI6pnBG7Z48w","uO39--k_hrCFgZh-Bl8m8A",5,0,0,0,"We got a selection of asada, carnitas, shrimp, and al pastor tacos and they were pretty amazing. They also carry taramind jarritos which is hard to find. Love this little find right off the fwy","2015-06-22 19:00:04"
"e1hKmbNKvLSiEI37x17g6w","CRhM7BR4NbR2ddriQzv8ww","7YiLEuHuUONZrMPT0OxXUQ",1,0,0,0,"The worst! Filled with homeless people. So, they treat everyone like homeless. Very rude service! Even if you're a paying customer.","2018-08-28 14:40:18"
"8g6W4NLufwaCU1fnWKLhnA","0jkLS0JLIqeGDXleUw-cDQ","pP1V9AvK716BMxoHkNVWdw",3,2,0,0,"You know, I keep giving these guys a chance in hopes that they will improve. They have not.

I had to clear my throat loudly to entice someone to come from the back to actually help me.

I was in on a Sunday afternoon and while they weren't busy there were hardly any cupcakes to purchase. I was surprised by the lack of variety despite being there with over 3 hours of business hours left until closing. The two cupcakes I purchased were lemon (for the wife), and a chocolate caramel pretzel combo of some sort. Once I paid for them I was anxious to eat mine. 

I got them home and once we had lunch it was time for dessert. My wife tried hers, one bite was all she took to be done. She said it the icing was too sweet and the cake too dry. I felt the same about my mine. Also, the caramel part in the description was not at all present in my cupcake. It really amounted to overly granulated sugary icing with crushed up pretzel bits on top. The frosting had crusted over so it clearly wasn't fresh. The cake was also dry so it too wasn't fresh. You are a cupcake place, that only makes cupcakes but you can't do that well? Clearly, this just doesn't compute.

Next time, I will save myself from these dry cupcakes and make my own.","2015-03-04 22:24:15"
"mfchMlnX2DbgS6PMzWp_nQ","mz6ZgGguuNubCJOKt5rp3w","TghRoAMx43V-9l7mH-SENg",5,1,0,0,"First time eating at Crabby Bills...we had the BBQ wings for an appetizer and the meat was tender, sauce was tangy.  For our entree we had the Lobster sandwich and Sea Scallops.  Overall the food was juicy and delicious...service was good in spite of it being packed - our server Kelly was very pleasant and attentive...will definitely return in the future..","2012-03-03 00:17:03"
"0V7B8LTZKQt615DSenon9Q","ylCjT5RkYDdDi4WdifgBww","voVM5CWSffrRCKNrjYBbvw",5,0,0,0,"I called to inquire about my chipped automobile  window..Sandy was friendly and efficient..within an hour Shawn came to my house and my window was fixed..lifetime guarantee. .courteous and informative. .highly recommend Shawn and this company!!","2018-05-19 23:47:52"
"156_4LYOPE5L-i-kRCLcsQ","6O91E5QSz5WMS8yJ0oyRpg","l_EQPW5NIIfi9s8rQfSufg",5,1,0,0,"Last Saturday morning I woke up to my Great Dane eating my glasses for breakfast. I had planned to visit the ophthalmologist during the week to get a new pair but really did not have the time to take off work. After being driven to the mall by a family member for an unrelated errand (could not find my contacts), I stumbled upon SEE and was delighted to find that they could give me an eye exam in store right away. The eye exam was easy peasy and felt like I had gone to my regular ophthalmologist.  Jennifer was so helpful in helping me select glasses that went well with my face (I always struggle with this). She also found a special deal for me to allow me to be able to afford a 2nd pair for backup in case of any future dog incidents, lol. All around it was a pleasant experience that allowed me to save money and get my new glasses ordered over the weekend! I could not be more please and will definitely return. Thanks again, Jennifer!","2014-12-05 12:54:29"
"7nJa0jm7Af9kr_BJSEgt_Q","-THLGnsYKu3yQAsy_tt1fw","MpkCQTOV6D3XGRPbtQPj5Q",3,2,0,0,"The owner (? white guy behind counter) was really nice. The bubble tea, however, was not. The bubbles were undercooked and flavorless. He did not ask if I wanted mine blended or over ice and I just assumed it would be over ice. It was not. It was poorly crushed ice (think chunks big enough to clog the massive straw mixed with pellets from an artificial snow machine) blenderized with grainy sugar, over hard tapioca balls. I had a huge craving for bubble tea and this place left me feeling unfulfilled. I do NOT recommend it for bubble tea, but based on the cleanliness, kind owner, and happy expressions of all the people eating there, I will be back to try the food. The tea was almost $5, so I felt it was overpriced too.","2013-01-31 19:33:49"
"WOkjWsurffpJRXyWXfDdNg","_-hsyfuQT9w0e3-ztdwTUA","0ICfbEImE0gUZc4kSZ7QHg",5,5,0,1,"What an impressive company! We recently had to replace an old furnace and water heater for my mother. We were totally blown away by the professionalism and the customer service which we received from every point of contact. The helpful people on the phone, Dave, the sales person and the people that came to install the furnace where all wonderful. They turned what could have been a very stressful situation for a senior into something pleasant. When the furnace was installed, we were very impressed with the workmanship  by Nick and Ron. Everything looked like care was taken, it wasn't just slapped together. They were efficient and left the basement clean, we were so impressed! Perhaps the nicest thing was the peace of mind they left my mother with. She now feels comfortable and warm and knows her  furnace is a good one and she doesn't have to worry about it breaking down in mid winter. Thankyou everyone at The Furnace Company!","2012-01-10 18:43:28"
"GQjlp7Trr8F6GwGqlTqIdg","jlwDCJ5lvmScaT0N4TLqCw","kKPJLiHIr9Gd9sYs3GhxDQ",4,0,0,0,"Great date night spot. Will be coming back again! Thoughtful, unique dishes + attentive service.

Food:
- hand cut truffle parmesan fries: would've preferred it to be a bit more crispy.
- carpaccio of beef tenderloin with house made ravioli: our favorite dish of the meal. fresh carpaccio and the house ravioli stuffed with soft poached egg was a nice touch. 
- roasted mushroom flatbread: second favorite dish. a lot of mushroom and arugula. would definitely order again.
- pulled slow braised short rib fat noodles: creative dish; loved the braised short rib with fresh pasta combo. but a tad too sweet and too salty for my taste.

Can't wait to come back and try all the other dishes!","2017-10-03 13:36:38"
"LyyI136UWgEdrFB8KG-gfA","RpI9a_pglhOqpPB0NF2BYA","UCMSWPqzXjd7QHq7v8PJjQ",5,0,0,1,"Excellent breakfast/brunch spot in Tucson. Menu consists of various pastries (croissants, Danishes, scones, etc.), pancakes, egg dishes, etc as well as an extensive drink list (specialty mimosas, teas, coffees). This morning I ordered the fruit granola parfait which consisted of a large serving of organic vanilla yogurt smothered in fruits (blackberries, apples, strawberries, raisins, cranberries) and nuts (pine nuts, almonds). I ordered a side of walnut bread which came with fresh whipped butter and fresh jam on the side. It was delicious. My sister ordered two eggs with homefries and toast which she enjoyed and finished the whole plate. Perhaps the best part of the meal was the freshly squeezed orange juice- the freshest and tastiest I have ever had. Coffees and waters were continually refreshed. They really aced it.","2015-02-24 21:37:58"
"8GZbCEMxrbqmRinDbfHWVQ","OkjeFppodgJP_CvB84cJYw","FHNIvNgh3fS7VZQq2Y3dsA",3,1,0,1,"After trying a few ramen places with crazy variety in their selections and stellar broth, I was not too excited about the ramen I got at Cheu.  Maybe it's a matter of taste, but personally, I was not a fan of their thick noodles, and extremely salty broth.  

The service was great, and they had a nice selection of beers!  The friend I went with loved it, and has been many times.  Honestly, I'm just sorry I wasn't a bigger fan.  But I hope others try it for themselves.  I might just be an oddball out on this one.","2014-07-13 18:28:58"
"W6cl0P3LaYjWU5a26vaTyg","NmWq8MYyckcaiSJS9nG8wg","jGewGnIYcf9LFBcR8lMC5g",2,1,0,0,"First time my wife and I dined there. It was last Thursday night. The place was half full. Nice environment - we sat in the back room where it was quiet. 

I had the broccoli soup and had to send it back. It was not enough broccoli and too much chicken broth. My wife unselfishly share her salad with me - don't know what it was but it was very good. I had the linguine and my wife the salmon. The linguine was fairly greasy and not very tasty. I ate 25% and took the rest home; I didn't eat eat later. The salmon was good. I guess I was having bad luck! The creme brulee was nice. I noticed that I was charged for french fries the waiter forgot to serve us, it was taken off.

All in all a fair but not good dining experience. 2 glasses of wine, appetizer, entree, desert and 2 coffees came to around $80 without a tip. Limited menu. I'll go somewhere else next time.

I gave it 2 stars but it should be 2 1/2 stars.","2011-02-21 23:05:02"
"7i2M6HU0bOxukQLYg8otJQ","YlIH4MEz-loU8SDtepQSuQ","tP8wd-9CrI_RkHK424oifQ",2,1,0,0,"I love Panera and I eat there regularly in Texas. But this was the worst experience I've ever had at any Panera. Took over 25 minutes to get two orders of oatmeal. After 20 minutes we went to ask what the status was and the employees laughed as they told us they forgot we were here and had ordered anything.","2016-02-01 17:12:16"
"WWP0Fy48DnMGwEjpLmzajA","ZKI0DZTiscVjSFGFQNix7g","bguzzvkFJ2gPGvtvXwfPCQ",5,2,1,0,"Since I moved to Philly a few years ago, I have been on the search for a yoga studio that feels like another ""home"" to me. I found it at Yoga Garden on South St. The owner, Mark, has taught many of the classes I have taken so far. He embodies what I feel yoga is all about: being centered, compassion, and emphasizing balance. In his classes, he is ""hands on"" (with permission) on guides everyone through energetic sequences that invigorate the body and spirit.

The studio is always clean the ambiance is calming. Classes I have been to have never been so packed that I feel uncomfortable (like a canned sardine). The manager & receptionists are welcoming and polite. I have taken both ""all levels"" and ""intermediate"" classes, and I always get the level of challenge I'm seeking there. What more can I ask for? I found my new Yoga Home. Namaste!","2013-09-07 17:17:38"
"2vrnm1nqC-0ylz4auzWZ7g","klaZ8hamyYIwHe_tYIssHA","JcP1z6eZBgTIcxWlyxSw0g",3,0,0,0,"I wanted to love it so bad, but it fell short of my expectations.
PROS:
Bread presentation was amazing
Pork loin was so yummy. All the flavors on the plate complemented each other very well and you're filled without being stuffed
Drinks were phenomenal.
Desserts were a perfect portion and, although not unforgettable,  were a nice end to the meal. 

CONS: Service was not what I expected for the restaurant. It wasn't bad service,  but it wasn't outstanding either. Though I never felt rushed, I did feel intimidated by the waitress and she was very to thr point. It threw me off. I asked about different drinks and got short, brisk answers. 
The steak frittes: steak was chewy, in a full of fat and nerves way and seasoned poorly.","2014-04-20 14:52:30"
"OAhBYw8IQ6wlfw1owXWRWw","1C2lxzUo1Hyye4RFIXly3g","BVndHaLihEYbr76Z0CMEGw",5,0,0,0,"Great place for breakfast! I had the waffle, which was fluffy and perfect, and home fries which were nice and smashed and crunchy. Friendly waitstaff. Will definitely be back!","2014-10-11 16:22:06"
"IuIp5xVmIF1ek-356nJVfw","10Sfh5kLLVeckl2U1f8VkQ","2er_V-oAd7IbQ5YTY56r7A",4,0,0,0,"Was quite impressed with this little place. Unique and yet charming. The food was delicious! Grass-fed meats and great choice of fabulous cheeses!!! We really enjoyed....definitely try the fries!!!","2016-12-22 03:14:54"
"N7marL9QvLgKxC1vXVH4TQ","rqz7WV6rAgKk2dlQFdssJw","mBeSTUmigL9HGcfAjGRTQQ",5,0,0,0,"I have a finicky dog and One Lucky Dog has the only treats my little girl will eat.   The staff are always so warm, friendly, and helpful.    I especially love Heather who grooms Rosie.  She comes back to me so soft, clean, and beautiful.  And the prices, I feel are very reasonably.","2018-05-12 12:56:22"
"Av7NldOjGRZzB5ftpN4r9A","Do0t-Yq4bmOKGAnQzvc2wQ","tBT4yR-8dRwH89nzjpOzOw",5,1,0,0,"Voree did a great job repairing a laptop for me - fast, reasonable, and effective service.  I used them again for two other laptops.  Don't ask me why I keep having trouble with my laptops.  On one of them my granddaughter broke the display screen and Voree fixed it quickly.","2013-09-11 14:16:33"
"X7WtTI_eis5sUE3lBrnmwg","WjsZSsBbUTwkGUIkv7TpjQ","KAk07Tbv0UsoY-s7RYfepg",4,0,0,0,"It wont blow u away but it's a decent lunch spot. U wont have anything undercooked. The sesame bread is pretty good. I recommend sticking with egg drop soup unless you are used to the flavors of the other two. Option between white and brown rice, i feel like they missed out on the opportunity to have fried rice as an option. Overall i enjoyed it.","2018-05-29 20:17:03"
"HxVRch8wYZ2IvNMDxtsv2A","h3lF7gq22wCL_-14UNo8Wg","ywL2oIACV9FVEPRW66wCZQ",1,1,0,0,"ADT installed a faulty transformer, which was discovered when our entire system went down.  A tech wasn't available for over a week, leaving us with no fire, co2 and alarm protection.  We were finally told that someone would be available the next day if we wanted to pay OT - a minimum of $400.  They offered to reimburse us for 3 months of service - less than half the cost.  We asked what constituted an emergency to get someone out at no charge and were told the transformer blowing up and starting a fire.  No logic worked.  If we didn't have a contract we would cancel our service immediately.  Unfortunately we are stuck.","2014-06-14 02:08:40"
"TIXJwpXHfijzySSo7qlhDA","Uz1CdLc3wTwgWmHeGnAFpg","ComvlRfBVFHLQRM57hhHyg",5,0,0,0,"Sharen's took my order for delivery and a beautiful arrangement was delivered within an hour and a half.  
Great customer service and beautiful flowers!!!
Thanks again Sharen's for making my friends day.  :)","2018-03-16 16:24:24"
"Zv4Yw_UsHtKJyvm8ggwXjw","hDNgxRU92aaPizSVi4Sm9A","wFES5bGDiPANW13hNHnXOQ",5,8,5,5,"Literally the best sushi known to mankind. 
The Yellowtail Melt is a veritable cornucopia of flavor that will undoubtedly give you a mouthgasm. 
Try out the Champagne Fluke for a tender, rich taste that will make your eyes roll back.
The merry-go-round will feel like tiny mystical creatures dancing a magical jig on your taste buds.
And always end the night with another yellowtail melt, it's just the morally right thing to do.

You won't be sorry.

P.S. Legend has it that every bite of Nao's Sushi will add an extra hour to your life.

I hope that is true... I go here so much, I'm probably just about immortal.","2013-10-28 20:54:34"
"NihbZscybSZCTq5u4hE9IA","jOND-BIBmG7yOzJshELbiQ","q542fY8AV1VjiP7A7z6S_A",4,0,0,0,"The woman behind the counter was very helpful and friendly. I was looking for a saw and she showed me their bargain bin saw as well as a sturdier if pricer option. They have all the basic DIY stuff for home and garden. I will definitely shop here before I head to one of the big box stores!","2014-10-29 01:03:54"
"0balaMRhJHMk3uiDXcuHng","slLS-F4ReHk45QCCURK6xg","dz_aIFbATP2PLWQSOBnMfw",1,2,0,0,"Not sure what all the hype is about. We came in at 8 am got seated right away. My husband and I ordered a pretty simple breakfast. 2 eggs bacon for me sausage for him, and fried potatoes and toast.  I did ask for fried onion in my potatoes. A 50 cent up charge for a scantily amount of fried onion thrown on cold potatoes that tasted as though they were fried the day before. My eggs were ordered over easy, one was and one was hard. My bacon was cold and burnt.  My husband's sausage was spicy, I like spicy, but was too spicy for my breakfast. Toast was cold and dry. You have to butter your own at the table, so hope it arrives promptly. Our bill was $18 and some change. You decide. I will go elsewhere for my money.","2016-03-31 13:02:44"
"hyTNd5dbaZaySU_15r1smw","c_Jpjy4O1bVB3P1ru5G7Bw","i5gYq_x-Xdf83HmwFX1k4g",3,3,2,3,"Antiques everywhere!

I've seen some pretty unique items here. There's a little something for everyone, and the prices are decent. I wouldn't advise bringing young children inside, though. This is a very small store, and even an adult like myself gets nervous about the chance of knocking something off of a shelf.

If you can keep your hands, and randomly flailing accessories, to yourself (that  heavy purse can turn into a wrecking ball real quick) then this is a neat place to visit.","2014-02-26 21:13:35"
"nRllITZPHgpQujxHhSNgag","xv6tLH4OETwDx4B_BiNWbA","z680Aylt8wN2KAeFM1hy-A",5,0,0,1,"Garlic and cheese chips. That's it. I crave and rave about these things all the time. Goes great with my St. George's Philly.  It's a wonderful pub feel, very chill, non-pretentious, great price and----as previously mentioned----I love the food. If I still lived downtown I'd go more often but when I'm in the area I make a point to stop. If you're a fan of English brews, they have some interesting ones (and specials). Sit outside and enjoy.","2015-08-12 19:44:34"
"JoIuAeqQA8IpBx53zJryCA","exjzB5k3S6ApiSfDY3jlaw","Wr2k0Vz8RbcumYulp-jIrA",3,0,1,0,"The Dan Dan noodles are great, any meat product is horrible. The meat is tenderized into a disgusting gelatinous consistency. It is truly nasty.","2013-10-10 00:34:06"
"N2RGgaq7ulckvKxBjEQkow","C1IAYGkz-dgKkaXJRNzpKQ","Ln5j6LRuXur3E5U86WjOJg",4,2,0,0,"Overall, very good and worth visiting. Sort of a nondescript little restaurant on a corner full of locals. The muffaleta (on poboy bread) was totally delicious, if not traditionally served. Their oyster poboys were run-of-the-mill New Orleans great. In other words, not 'special' but up to par with top quality oyster sandwiches everywhere. The gumbo was a little watery and average. Definitely worth stopping in for a bite if you're nearby. The inside is full of picnic-like tables. Comfortable and casual, and the sandwiches are fairly priced.","2011-03-29 01:39:34"
"YQIRUdjVD_8x9iYSlrzlNQ","42D8UPKrq8oDOPwGysuEMw","VRnJgj0IvxoksHppE78X2Q",4,2,0,1,"Definitely one of my favorite Chinese places in the city. I have been going for many years and it's never disappointed. 

Something not to miss are the soups for two - there are multiple interesting and delicious options. The duck soup is great as well as the chicken and vegetables. They are rich and satisfying. 

I usually always get the same entree because it is so tasty - beef with black bean sauce and pan fried noodles. The beef and chinese greens are done perfectly and the egg noodles are buttery and satisfying. One order is enough for at least two and possibly three meals, depending on how hungry you are, so be prepped for leftovers.

It's BYOB and inexpensive. Gets very crowded on weekend eveningsl. So worth it!","2011-08-30 20:23:29"
"fmKAuFpJUp1mLtRXgeeNMg","Cv-YvNr4OdnV-0_VHWy1Og","ehnMcJZlx29XMroxMd3-mQ",5,0,0,0,"The food is very good. The serves very good. Portion kind of small. Spicy sauce is very good. In a word, it is a good place to have Indian good.","2017-05-27 23:49:56"
"7jVepENiv_3gOyz1IsDNdQ","AjevgJHeJfSpnGzpSBvtwg","oThWInL6gUCt2d98fSIAfA",5,0,0,0,"Never had a bad time here! Everyone is very kind, beers are diverse and tasty and bartenders are knowledgeable. I just ate the Ave Frohmann sandwich off their seasonal menu and it was delicious! The bread, spicy mustard, kraut and sausage... Yummm.","2017-03-05 01:54:14"
"6tVxstE7flJ6feZo3SC2Ng","-wZwKsPoiS9zxCbhVVXYfA","C1D2o1VV2TDjpkG3BsdseA",3,0,0,0,"This place is a good hang out for Vanderbilt students after class. The tacos are okay, not a lot of variety but the quality is good. However, this is just a great place to relax on the patio with a bunch of friends and the buckets of beer that you can get here. The atmosphere is fun and friendly.","2016-11-22 17:48:14"
"Lm9YoY99fBNSW8n0uw8mdQ","UCnM1IOnRoKLgPMQ0w1gHQ","gqMRM12j5mder76t3bPxJw",5,1,0,1,"This is my happy food! The outside of the building and interior are nothing special, but don't let that throw you off. The food in incredible. I have eaten in and had take out from the steam table. Both are very good, but I agree with Brian R try the Hung ray curry and the disco chicken are not to be missed.

The staff is very friendly and attentive. The prices are also very reasonable.","2012-05-28 16:19:47"
"sOhr_3KK9L4dTpOKv0HTPw","8lSrhSnhbIUCG4XE2jT5cA","ju4YP8SLdR_BmWr_-Xh83Q",5,1,0,0,"I didn't get the server's name down, but he was awesome possum LOL. He was super attentive and made sure we had everything. The food is good but the service made it better!","2017-10-14 18:43:59"
"BEP4km_MlQSG5yBs2JZNww","0tlc158SbYiRyGWH6mLM_A","aNXw3PkXVt8ANwLyCfcmpg",3,0,0,0,"Popped in for ""all-day breakfast"" recently & realized it's a very limited breakfast menu. Wish it was the full menu all day! The manager was very helpful & attentive. The other employees weren't great. The main dining area was clean & tidy but the side area was messy & not very clean. My food came out hot & fresh though, so I'm happy about that!","2018-09-03 02:40:58"
"8Msy4SLzwNfASDeEqYzzIQ","kZOHcAsSBIAoXn7cYbvveA","TUhRukcZb3tG0cB_X68FCQ",3,0,0,1,"Food and service is okay. I would say it is a better place if you do not want all that unstable food quality and hustle and bustle in Minado.","2017-07-10 13:41:21"
"A5O53E7CnoKtiRNvDGCpTQ","dFA7C1lCg-FZvn15Q8nZYg","TDKBPcViJQDMrdUm6a9XZA",5,0,0,1,"Beautiful building bar and restaurant.  Shared food with friends at a long bar table and everything was delicious.  Cesar salad. Brussel Sprouts,  Shrimp tacos.  Good beer too.","2017-08-09 02:06:09"
"BIf_A0I17z3d_8xYlwefqA","3TEFXR7z-pdLDUDX4SszIA","_aKr7POnacW_VizRKBpCiA",5,0,0,0,"Most amazing deli ever. Sandwichs are mind blowing.  Every week my boyfriend & I go, we always get the daily special & a regular sandwich off the menu. The ""Roberto"", ""Benton Park"", ""Mike's Beef & Cheddar"", & ""Turkey Supreme"" are my top 4 favs. All DELICIOUS. Great little spot & staff is the best. Definitely A+++","2014-08-13 00:18:27"
"FK2H5litXdqtSVyhVQjHXg","Ra81C6AhGsAPKe30x8t5Sg","QUnvoceeKLK201dOflQThA",4,2,0,0,"City Parkの近くにある激安かき氷屋さん。シェーブドアイスっていったほうがいいね！
特に夏のニューオーリンズはジメジメして暑いから、公園に行った後にここでかき氷とか最高だと思う！

味の種類は半端なく多いです！50以上はあったはず！
そしてなんといっても安い！ぼくは一番安いチョイスのレギュラーかき氷のスモールを頼みましたが、スモールでも結構十分だと思います。そして値段はたったの$1.50. 安い！！

トッピングをしても５ドル以上はいかないはず。
夏のうだる暑さには、最高のチョイスだと思います！","2015-08-06 21:26:58"
